"BinNo","MemberName"
"540024","ING BANK"
"540025","ING BANK"
"542029","ING BANK"
"542605","ING BANK"
"542965","ING BANK"
"542967","ING BANK"
"547765","ING BANK"
"548819","ING BANK"
"550074","ING BANK"
"554297","ING BANK"
"554570","ING BANK"
"603322","ING BANK"
"676366","ING BANK"
"676402","ING BANK"
"522075","FIBABANKA"
"522265","FIBABANKA"
"522566","FIBABANKA"
"522576","FIBABANKA"
"559056","FIBABANKA"
"603343","FIBABANKA"
"402277","FİNANS BANK"
"402278","FİNANS BANK"
"402563","FİNANS BANK"
"403082","FİNANS BANK"
"409364","QNB FİNANSBANK"
"410147","QNB FİNANSBANK"
"413583","FİNANS BANK"
"414388","QNB FİNANSBANK"
"415565","FİNANS BANK"
"420092","FİNANS BANK"
"422376","QNB FİNANSBANK"
"423277","FİNANS BANK"
"423398","FİNANS BANK"
"427311","FİNANS BANK"
"435653","QNB FİNANSBANK"
"441007","QNB FİNANSBANK"
"442395","QNB FİNANSBANK"
"444029","FİNANS BANK"
"459333","FİNANS BANK"
"479679","FİNANS BANK"
"498749","FİNANS BANK"
"499850","FİNANS BANK"
"499851","QNB FİNANSBANK"
"499852","QNB FİNANSBANK"
"499853","FİNANS BANK"
"519324","QNB FİNANSBANK"
"521022","FİNANS BANK"
"521584","FİNANS BANK"
"521836","QNB FİNANSBANK"
"529572","QNB FİNANSBANK"
"530818","QNB FİNANSBANK"
"531157","QNB FİNANSBANK"
"542404","FİNANS BANK"
"545120","QNB FİNANSBANK"
"545616","FİNANS BANK"
"545847","FİNANS BANK"
"547567","FİNANS BANK"
"547800","QNB FİNANSBANK"
"677238","FİNANS BANK"
"979202","QNB FİNANSBANK"
"979203","QNB FİNANSBANK"
"405903","HSBC BANK"
"405913","HSBC BANK"
"405917","HSBC BANK"
"405918","HSBC BANK"
"405919","HSBC BANK"
"408969","HSBC BANK"
"409071","HSBC BANK"
"422629","HSBC BANK"
"424909","HSBC BANK"
"428240","HSBC BANK"
"496019","HSBC BANK"
"510005","HSBC BANK"
"512651","HSBC BANK"
"519399","HSBC BANK"
"525413","HSBC BANK"
"525795","HSBC BANK"
"540643","HSBC BANK"
"542254","HSBC BANK"
"545183","HSBC BANK"
"550472","HSBC BANK"
"550473","HSBC BANK"
"552143","HSBC BANK"
"556030","HSBC BANK"
"556031","HSBC BANK"
"556033","HSBC BANK"
"556034","HSBC BANK"
"556665","HSBC BANK"
"676401","HSBC BANK"
"677193","HSBC BANK"
"466280","ALTERNATİF BANK"
"466281","ALTERNATİF BANK"
"466282","ALTERNATİF BANK"
"466283","ALTERNATİF BANK"
"466284","ALTERNATİF BANK"
"516308","ALTERNATİF BANK"
"516458","ALTERNATİF BANK"
"522221","ALTERNATİF BANK"
"544836","ALTERNATİF BANK"
"558485","ALTERNATİF BANK"
"627768","ALTERNATİF BANK"
"670670","ALTERNATİF BANK"
"414941","BURGAN BANK"
"498516","BURGAN BANK"
"498517","BURGAN BANK"
"498518","BURGAN BANK"
"498519","BURGAN BANK"
"498520","BURGAN BANK"
"498521","BURGAN BANK"
"523759","BURGAN BANK"
"548202","BURGAN BANK"
"548434","BURGAN BANK"
"554034","BURGAN BANK"
"558379","BURGAN BANK"
"403134","DENİZBANK"
"404990","DENİZBANK"
"408625","DENİZBANK"
"409070","DENİZBANK"
"411924","DENİZBANK"
"423667","DENİZBANK"
"424360","DENİZBANK"
"424361","DENİZBANK"
"441139","DENİZBANK"
"460345","DENİZBANK"
"460346","DENİZBANK"
"460347","DENİZBANK"
"462276","DENİZBANK"
"462448","DENİZBANK"
"462449","DENİZBANK"
"465574","DENİZBANK"
"472914","DENİZBANK"
"472915","DENİZBANK"
"476662","DENİZBANK"
"483747","DENİZBANK"
"489456","DENİZBANK"
"489457","DENİZBANK"
"489458","DENİZBANK"
"508129","DENİZBANK"
"510063","DENİZBANK"
"510118","DENİZBANK"
"510119","DENİZBANK"
"512017","DENİZBANK"
"512117","DENİZBANK"
"512446","DENİZBANK"
"514924","DENİZBANK"
"515865","DENİZBANK"
"516731","DENİZBANK"
"516740","DENİZBANK"
"516914","DENİZBANK"
"517047","DENİZBANK"
"520019","DENİZBANK"
"520303","DENİZBANK"
"520909","DENİZBANK"
"522517","DENİZBANK"
"523515","DENİZBANK"
"529545","DENİZBANK"
"529876","DENİZBANK"
"533293","DENİZBANK"
"533330","DENİZBANK"
"539605","DENİZBANK"
"543358","DENİZBANK"
"543400","DENİZBANK"
"543427","DENİZBANK"
"546764","DENİZBANK"
"549938","DENİZBANK"
"552679","DENİZBANK"
"554483","DENİZBANK"
"554566","DENİZBANK"
"558443","DENİZBANK"
"558446","DENİZBANK"
"558448","DENİZBANK"
"558460","DENİZBANK"
"558514","DENİZBANK"
"670610","DENİZBANK"
"677047","DENİZBANK"
"425846","ANADOLUBANK"
"425847","ANADOLUBANK"
"425848","ANADOLUBANK"
"425849","ANADOLUBANK"
"441341","ANADOLUBANK"
"522240","ANADOLUBANK"
"522241","ANADOLUBANK"
"535881","ANADOLUBANK"
"554301","ANADOLUBANK"
"558593","ANADOLUBANK"
"603072","ANADOLUBANK"
"676460","ANADOLUBANK"
"453144","AKTİF YATIRIM BANKASI"
"453145","AKTİF YATIRIM BANKASI"
"453146","AKTİF YATIRIM BANKASI"
"453147","AKTİF YATIRIM BANKASI"
"453148","AKTİF YATIRIM BANKASI"
"453149","AKTİF YATIRIM BANKASI"
"504166","AKTİF YATIRIM BANKASI"
"517343","AKTİF YATIRIM BANKASI"
"528246","AKTİF YATIRIM BANKASI"
"532813","AKTİF YATIRIM BANKASI"
"534563","AKTİF YATIRIM BANKASI"
"535843","AKTİF YATIRIM BANKASI"
"581877","AKTİF YATIRIM BANKASI"
"671121","AKTİF YATIRIM BANKASI"
"671155","AKTİF YATIRIM BANKASI"
"515456","AKTİF YATIRIM BANKASI"
"468791","ODEA BANK"
"468793","ODEA BANK"
"468794","ODEA BANK"
"468795","ODEA BANK"
"468796","ODEA BANK"
"468797","ODEA BANK"
"469180","ODEA BANK"
"469181","ODEA BANK"
"460957","PAPARA"
"516944","ODEA BANK"
"519261","ODEA BANK"
"522347","ODEA BANK"
"522356","ODEA BANK"
"522362","ODEA BANK"
"524677","ODEA BANK"
"526952","ODEA BANK"
"527369","ODEA BANK"
"527383","ODEA BANK"
"527396","ODEA BANK"
"536255","ODEA BANK"
"670868","ODEA BANK"
"417715","ALBARAKA TÜRK KATILIM BANKASI"
"534653","İŞ BANKASI"
"424935","ALBARAKA TÜRK KATILIM BANKASI"
"432284","ALBARAKA TÜRK KATILIM BANKASI"
"432285","ALBARAKA TÜRK KATILIM BANKASI"
"511583","ALBARAKA TÜRK KATILIM BANKASI"
"534264","ALBARAKA TÜRK KATILIM BANKASI"
"547234","ALBARAKA TÜRK KATILIM BANKASI"
"548232","ALBARAKA TÜRK KATILIM BANKASI"
"627510","ALBARAKA TÜRK KATILIM BANKASI"
"979227","ALBARAKA TÜRK KATILIM BANKASI"
"402589","KUVEYT TÜRK KATILIM BANKASI"
"402590","KUVEYT TÜRK KATILIM BANKASI"
"402591","KUVEYT TÜRK KATILIM BANKASI"
